country,sex,age,suicide_prob
kyrgyzstan,female,35-54,0.001411033699365
kyrgyzstan,female,5-14,0.0002011344450128
kyrgyzstan,female,55-74,0.0018410447081768
kyrgyzstan,female,75+,0.0031717189731601
kyrgyzstan,male,15-24,0.0040929698297099
kyrgyzstan,male,25-34,0.0064886995850886
kyrgyzstan,male,35-54,0.0079940334921594
kyrgyzstan,male,5-14,0.0006530235873458
kyrgyzstan,male,55-74,0.008008167387306
kyrgyzstan,male,75+,0.0080528760447292
latvia,female,15-24,0.0008917593566625
latvia,female,25-34,0.0013465264695745
latvia,female,35-54,0.0023277021346574
latvia,female,5-14,8.132777754284047e-05
latvia,female,55-74,0.0027902614494591
latvia,female,75+,0.0048378403806163
latvia,male,15-24,0.0056578705025254
latvia,male,25-34,0.0098937941027994
latvia,male,35-54,0.0143058100126929
latvia,male,5-14,0.0002800048484167
latvia,male,55-74,0.0145420499976877
latvia,male,75+,0.0167779898909953
lithuania,female,15-24,0.0014406455826607
lithuania,female,25-34,0.0019261931866231
lithuania,female,35-54,0.0038337789013643
lithuania,female,5-14,0.0001810685197251
lithuania,female,55-74,0.0038938752146653
lithuania,female,75+,0.0055895594874337
lithuania,male,15-24,0.0098310617309719
lithuania,male,25-34,0.0155331427438511
lithuania,male,35-54,0.0231337084651437
lithuania,male,5-14,0.0003465368594085
lithuania,male,55-74,0.0210661460896495
lithuania,male,75+,0.0191126524240006
luxembourg,female,15-24,0.0009806547299395
luxembourg,female,25-34,0.0020372149206503
luxembourg,female,35-54,0.0031791729518214
luxembourg,female,5-14,0.0001598633428167
luxembourg,female,55-74,0.0042090381865011
luxembourg,female,75+,0.0039908447985571
luxembourg,male,15-24,0.0046391670178306
luxembourg,male,25-34,0.0059121724025673
luxembourg,male,35-54,0.0084597134289742
luxembourg,male,5-14,0.000236177083834
luxembourg,male,55-74,0.0096875251717512
luxembourg,male,75+,0.018074008272622
macau,female,15-24,0.0
macau,female,25-34,4.620431548306612e-05
macau,female,35-54,8.282259400364419e-05
macau,female,5-14,0.0
macau,female,55-74,0.0001474926253687
macau,female,75+,0.0004913200131018
macau,male,15-24,8.640428565256837e-05
macau,male,25-34,8.74151344736152e-05
macau,male,35-54,0.0001077644269626
macau,male,5-14,0.0
macau,male,55-74,0.0001158144652267
macau,male,75+,0.0005521811154058
maldives,female,15-24,5.509795060023836e-05
maldives,female,25-34,3.768039489053845e-05
maldives,female,35-54,7.686888474255657e-05
maldives,female,5-14,0.0
maldives,female,55-74,0.0
maldives,female,75+,0.0010245901639344
maldives,male,15-24,9.81983251554306e-05
maldives,male,25-34,0.0001305507752454
maldives,male,35-54,0.0001572301256514
maldives,male,5-14,6.069019359947216e-05
maldives,male,55-74,0.0
maldives,male,75+,0.0
malta,female,15-24,0.0002913247448331
malta,female,25-34,0.0007555107556756
malta,female,35-54,0.0008675799064629
malta,female,5-14,5.08440105755542e-05
malta,female,55-74,0.0006778779066716
malta,female,75+,0.0005913807817507
malta,male,15-24,0.0021374494173912
malta,male,25-34,0.0031261526639403
malta,male,35-54,0.0034107367233509
